9,static/images/c_1279.png,They take yourjob and money! Stop illegal immigration!,Stop A.I.,c
10,static/images/l_3088.png,"Newsblog about social injustice in the US. Join us and stay informed!
Williams&Ka|vin",Williams&Kalvin,l
11,static/images/c_1292.png,This time you need to stay at home!,Stop Refugees,c
15,static/images/l_796.png,"It's time for Changes in Black Community! Stay together brother let us be
together here!",Williams&Kalvin,l
40,static/images/c_24.png,"TAG YOUR PHOTOS WITH TXagainst Send us the reason why don't you
want illegals in Texas.
Comments, photos, and videos are welcomed!",rebeltexas,c
74,static/images/l_374.png,Join us because we care. Black matters.,Black Matters,l
84,static/images/n_26.png,"Home of the Brave. Support our Veterans! Click Learn More! Veterans USA (
@veterans GovSpending",american.veterans,n
102,static/images/n_356.png,Such a beautiful day! Such a beatiful view!,L for life,n
124,static/images/n_3002.png,"Hallelujah! Ministering and uniting all Black congregations Worldwide. Join
our non denominational group!",Black_Baptist_church,n
128,static/images/n_3407.png,"Free online player! Jump in the world of free music! Click and download for ur
browser Unlimited, free and rapid app for you - listen music online on ur
Facebook! musicfb.info FaceMusic Stop A.|.",Stop A.I.,n
